Optimization Log
Iteration 0, Best Fitness: 281.448368
Iteration 1, Best Fitness: 267.422453
Iteration 2, Best Fitness: 237.448521
Iteration 3, Best Fitness: 206.036972
Iteration 4, Best Fitness: 179.929508
Iteration 5, Best Fitness: 179.929508
Iteration 6, Best Fitness: 163.150348
Iteration 7, Best Fitness: 163.150348
Iteration 8, Best Fitness: 143.718847
Iteration 9, Best Fitness: 143.718847
Iteration 10, Best Fitness: 143.718847
Iteration 11, Best Fitness: 140.122635
Iteration 12, Best Fitness: 140.122635
Iteration 13, Best Fitness: 140.122635
Iteration 14, Best Fitness: 140.122635
Iteration 15, Best Fitness: 140.122635
Iteration 16, Best Fitness: 140.122635
Iteration 17, Best Fitness: 126.420601
Iteration 18, Best Fitness: 126.420601
Iteration 19, Best Fitness: 119.905867
Iteration 20, Best Fitness: 83.907661
Iteration 21, Best Fitness: 83.907661
Iteration 22, Best Fitness: 83.907661
Iteration 23, Best Fitness: 83.907661
Iteration 24, Best Fitness: 83.907661
Iteration 25, Best Fitness: 83.907661
Iteration 26, Best Fitness: 70.461515
Iteration 27, Best Fitness: 63.416166
Iteration 28, Best Fitness: 63.416166
Iteration 29, Best Fitness: 63.416166
Iteration 30, Best Fitness: 63.416166
Iteration 31, Best Fitness: 63.416166
Iteration 32, Best Fitness: 63.416166
Iteration 33, Best Fitness: 53.097569
Iteration 34, Best Fitness: 53.097569
Iteration 35, Best Fitness: 53.097569
Iteration 36, Best Fitness: 53.097569
Iteration 37, Best Fitness: 45.510291
Iteration 38, Best Fitness: 45.510291
Iteration 39, Best Fitness: 34.732875
Iteration 40, Best Fitness: 34.732875
Iteration 41, Best Fitness: 34.732875
Iteration 42, Best Fitness: 34.732875
Iteration 43, Best Fitness: 34.732875
Iteration 44, Best Fitness: 34.732875
Iteration 45, Best Fitness: 34.732875
Iteration 46, Best Fitness: 34.732875
Iteration 47, Best Fitness: 34.732875
Iteration 48, Best Fitness: 33.380427
Iteration 49, Best Fitness: 33.380427
Iteration 50, Best Fitness: 33.380427
Iteration 51, Best Fitness: 29.141273
Iteration 52, Best Fitness: 29.141273
Iteration 53, Best Fitness: 29.141273
Iteration 54, Best Fitness: 29.141273
Iteration 55, Best Fitness: 29.141273
Iteration 56, Best Fitness: 29.141273
Iteration 57, Best Fitness: 29.141273
Iteration 58, Best Fitness: 29.141273
Iteration 59, Best Fitness: 29.141273
Iteration 60, Best Fitness: 29.141273
Iteration 61, Best Fitness: 29.141273
Iteration 62, Best Fitness: 28.541010
Iteration 63, Best Fitness: 23.888319
Iteration 64, Best Fitness: 23.888319
Iteration 65, Best Fitness: 23.888319
Iteration 66, Best Fitness: 23.142442
Iteration 67, Best Fitness: 23.096120
Iteration 68, Best Fitness: 23.096120
Iteration 69, Best Fitness: 23.096120
Iteration 70, Best Fitness: 23.062382
Iteration 71, Best Fitness: 19.969291
Iteration 72, Best Fitness: 19.969291
Iteration 73, Best Fitness: 19.969291
Iteration 74, Best Fitness: 19.969291
Iteration 75, Best Fitness: 19.969291
Iteration 76, Best Fitness: 19.697007
Iteration 77, Best Fitness: 19.697007
Iteration 78, Best Fitness: 18.585966
Iteration 79, Best Fitness: 18.169491
Iteration 80, Best Fitness: 17.037321
Iteration 81, Best Fitness: 16.899016
Iteration 82, Best Fitness: 16.899016
Iteration 83, Best Fitness: 15.802885
Iteration 84, Best Fitness: 15.802885
Iteration 85, Best Fitness: 15.802885
Iteration 86, Best Fitness: 15.802885
Iteration 87, Best Fitness: 15.802885
Iteration 88, Best Fitness: 15.802885
Iteration 89, Best Fitness: 15.318931
Iteration 90, Best Fitness: 15.318931
Iteration 91, Best Fitness: 15.318931
Iteration 92, Best Fitness: 15.316876
Iteration 93, Best Fitness: 15.118096
Iteration 94, Best Fitness: 15.033347
Iteration 95, Best Fitness: 15.033347
Iteration 96, Best Fitness: 14.803846
Iteration 97, Best Fitness: 14.768582
Iteration 98, Best Fitness: 14.757766
Iteration 99, Best Fitness: 14.691147

Final Best Fitness: 14.691147106220342
Best Position Found:
[-0.98623945  0.07210575  0.03179156 -0.99564766  0.10304206 -0.04815786
  0.06411926  0.06765997  0.01158869  0.99837103  0.04935878 -0.04249784
 -0.0199801  -0.07960591  0.9933932  -0.00689434  0.98634718  0.02170435
  0.99838856  0.98727115]
