Optimization Log
Iteration 0, Best Fitness: 20.066776
Iteration 1, Best Fitness: 17.389578
Iteration 2, Best Fitness: 17.389578
Iteration 3, Best Fitness: 15.944283
Iteration 4, Best Fitness: 14.852490
Iteration 5, Best Fitness: 12.674077
Iteration 6, Best Fitness: 9.644840
Iteration 7, Best Fitness: 9.437064
Iteration 8, Best Fitness: 7.440011
Iteration 9, Best Fitness: 6.684716
Iteration 10, Best Fitness: 6.684716
Iteration 11, Best Fitness: 5.907300
Iteration 12, Best Fitness: 4.559354
Iteration 13, Best Fitness: 3.795670
Iteration 14, Best Fitness: 3.389397
Iteration 15, Best Fitness: 2.831750
Iteration 16, Best Fitness: 2.365205
Iteration 17, Best Fitness: 1.429435
Iteration 18, Best Fitness: 1.091140
Iteration 19, Best Fitness: 1.091140
Iteration 20, Best Fitness: 0.805834
Iteration 21, Best Fitness: 0.593578
Iteration 22, Best Fitness: 0.377643
Iteration 23, Best Fitness: 0.280985
Iteration 24, Best Fitness: 0.220546
Iteration 25, Best Fitness: 0.161232
Iteration 26, Best Fitness: 0.142340
Iteration 27, Best Fitness: 0.092627
Iteration 28, Best Fitness: 0.092627
Iteration 29, Best Fitness: 0.074507
Iteration 30, Best Fitness: 0.061186
Iteration 31, Best Fitness: 0.058797
Iteration 32, Best Fitness: 0.041488
Iteration 33, Best Fitness: 0.032463
Iteration 34, Best Fitness: 0.029634
Iteration 35, Best Fitness: 0.024467
Iteration 36, Best Fitness: 0.019637
Iteration 37, Best Fitness: 0.017777
Iteration 38, Best Fitness: 0.011548
Iteration 39, Best Fitness: 0.011548
Iteration 40, Best Fitness: 0.010188
Iteration 41, Best Fitness: 0.008329
Iteration 42, Best Fitness: 0.007366
Iteration 43, Best Fitness: 0.005520
Iteration 44, Best Fitness: 0.005425
Iteration 45, Best Fitness: 0.005020
Iteration 46, Best Fitness: 0.003802
Iteration 47, Best Fitness: 0.003474
Iteration 48, Best Fitness: 0.003260
Iteration 49, Best Fitness: 0.003126
Iteration 50, Best Fitness: 0.002734
Iteration 51, Best Fitness: 0.002476
Iteration 52, Best Fitness: 0.002217
Iteration 53, Best Fitness: 0.001984
Iteration 54, Best Fitness: 0.001839
Iteration 55, Best Fitness: 0.001682
Iteration 56, Best Fitness: 0.001553
Iteration 57, Best Fitness: 0.001345
Iteration 58, Best Fitness: 0.001297
Iteration 59, Best Fitness: 0.001173
Iteration 60, Best Fitness: 0.001168
Iteration 61, Best Fitness: 0.001080
Iteration 62, Best Fitness: 0.001051
Iteration 63, Best Fitness: 0.000994
Iteration 64, Best Fitness: 0.000924
Iteration 65, Best Fitness: 0.000839
Iteration 66, Best Fitness: 0.000778
Iteration 67, Best Fitness: 0.000737
Iteration 68, Best Fitness: 0.000713
Iteration 69, Best Fitness: 0.000668
Iteration 70, Best Fitness: 0.000627
Iteration 71, Best Fitness: 0.000598
Iteration 72, Best Fitness: 0.000564
Iteration 73, Best Fitness: 0.000531
Iteration 74, Best Fitness: 0.000520
Iteration 75, Best Fitness: 0.000489
Iteration 76, Best Fitness: 0.000472
Iteration 77, Best Fitness: 0.000441
Iteration 78, Best Fitness: 0.000437
Iteration 79, Best Fitness: 0.000424
Iteration 80, Best Fitness: 0.000403
Iteration 81, Best Fitness: 0.000398
Iteration 82, Best Fitness: 0.000380
Iteration 83, Best Fitness: 0.000369
Iteration 84, Best Fitness: 0.000361
Iteration 85, Best Fitness: 0.000358
Iteration 86, Best Fitness: 0.000345
Iteration 87, Best Fitness: 0.000335
Iteration 88, Best Fitness: 0.000328
Iteration 89, Best Fitness: 0.000320
Iteration 90, Best Fitness: 0.000315
Iteration 91, Best Fitness: 0.000315
Iteration 92, Best Fitness: 0.000310
Iteration 93, Best Fitness: 0.000306
Iteration 94, Best Fitness: 0.000301
Iteration 95, Best Fitness: 0.000299
Iteration 96, Best Fitness: 0.000295
Iteration 97, Best Fitness: 0.000293
Iteration 98, Best Fitness: 0.000292
Iteration 99, Best Fitness: 0.000291

Final Best Fitness: 0.0002914651061556306
Best Position Found:
[-6.23973904e-05 -8.02330689e-05 -5.14593045e-05 -5.60502380e-05
 -6.88871675e-05  7.57515686e-05  7.36518959e-05 -9.31292395e-05
 -6.57443321e-05 -8.92635760e-05]
