Optimization Log
Iteration 0, Best Fitness: 152180.316907
Iteration 1, Best Fitness: 106110.578235
Iteration 2, Best Fitness: 106110.578235
Iteration 3, Best Fitness: 78418.427987
Iteration 4, Best Fitness: 70035.427407
Iteration 5, Best Fitness: 43537.663068
Iteration 6, Best Fitness: 43189.267932
Iteration 7, Best Fitness: 38136.389840
Iteration 8, Best Fitness: 32056.748293
Iteration 9, Best Fitness: 32056.748293
Iteration 10, Best Fitness: 29079.357539
Iteration 11, Best Fitness: 22881.272794
Iteration 12, Best Fitness: 16084.010315
Iteration 13, Best Fitness: 13432.396650
Iteration 14, Best Fitness: 13432.396650
Iteration 15, Best Fitness: 10816.273739
Iteration 16, Best Fitness: 10816.273739
Iteration 17, Best Fitness: 10816.273739
Iteration 18, Best Fitness: 10816.273739
Iteration 19, Best Fitness: 10816.273739
Iteration 20, Best Fitness: 10816.273739
Iteration 21, Best Fitness: 10816.273739
Iteration 22, Best Fitness: 8733.645468
Iteration 23, Best Fitness: 8733.645468
Iteration 24, Best Fitness: 8733.645468
Iteration 25, Best Fitness: 8733.645468
Iteration 26, Best Fitness: 7339.198444
Iteration 27, Best Fitness: 7028.420210
Iteration 28, Best Fitness: 7028.420210
Iteration 29, Best Fitness: 7028.420210
Iteration 30, Best Fitness: 7028.420210
Iteration 31, Best Fitness: 5885.759884
Iteration 32, Best Fitness: 4331.600336
Iteration 33, Best Fitness: 3833.656090
Iteration 34, Best Fitness: 3833.656090
Iteration 35, Best Fitness: 3445.033946
Iteration 36, Best Fitness: 3139.421358
Iteration 37, Best Fitness: 3139.421358
Iteration 38, Best Fitness: 2356.215196
Iteration 39, Best Fitness: 2356.215196
Iteration 40, Best Fitness: 2356.215196
Iteration 41, Best Fitness: 2343.946794
Iteration 42, Best Fitness: 2058.573146
Iteration 43, Best Fitness: 1589.849516
Iteration 44, Best Fitness: 1589.849516
Iteration 45, Best Fitness: 1589.849516
Iteration 46, Best Fitness: 1589.849516
Iteration 47, Best Fitness: 1565.202152
Iteration 48, Best Fitness: 1565.202152
Iteration 49, Best Fitness: 1449.118563
Iteration 50, Best Fitness: 1359.311542
Iteration 51, Best Fitness: 1359.311542
Iteration 52, Best Fitness: 1201.653658
Iteration 53, Best Fitness: 1049.125173
Iteration 54, Best Fitness: 964.086159
Iteration 55, Best Fitness: 928.649587
Iteration 56, Best Fitness: 857.962729
Iteration 57, Best Fitness: 796.933046
Iteration 58, Best Fitness: 654.143578
Iteration 59, Best Fitness: 654.143578
Iteration 60, Best Fitness: 648.972423
Iteration 61, Best Fitness: 626.535283
Iteration 62, Best Fitness: 610.776020
Iteration 63, Best Fitness: 598.680914
Iteration 64, Best Fitness: 527.169776
Iteration 65, Best Fitness: 494.063417
Iteration 66, Best Fitness: 463.352868
Iteration 67, Best Fitness: 402.915881
Iteration 68, Best Fitness: 399.984053
Iteration 69, Best Fitness: 389.733896
Iteration 70, Best Fitness: 365.466370
Iteration 71, Best Fitness: 340.591887
Iteration 72, Best Fitness: 311.476913
Iteration 73, Best Fitness: 299.898150
Iteration 74, Best Fitness: 271.351056
Iteration 75, Best Fitness: 253.591186
Iteration 76, Best Fitness: 241.499127
Iteration 77, Best Fitness: 230.652676
Iteration 78, Best Fitness: 214.584146
Iteration 79, Best Fitness: 211.824408
Iteration 80, Best Fitness: 203.143606
Iteration 81, Best Fitness: 194.469174
Iteration 82, Best Fitness: 186.862862
Iteration 83, Best Fitness: 176.207477
Iteration 84, Best Fitness: 165.559386
Iteration 85, Best Fitness: 165.559386
Iteration 86, Best Fitness: 163.618560
Iteration 87, Best Fitness: 158.189194
Iteration 88, Best Fitness: 149.826302
Iteration 89, Best Fitness: 144.743687
Iteration 90, Best Fitness: 140.581338
Iteration 91, Best Fitness: 135.457254
Iteration 92, Best Fitness: 134.022715
Iteration 93, Best Fitness: 130.006713
Iteration 94, Best Fitness: 128.681657
Iteration 95, Best Fitness: 127.037191
Iteration 96, Best Fitness: 124.295602
Iteration 97, Best Fitness: 123.113271
Iteration 98, Best Fitness: 121.612748
Iteration 99, Best Fitness: 121.340771

Final Best Fitness: 121.34077138779494
Best Position Found:
[ 1.82300142  1.17827096 -1.57000511 -4.83407423  4.59951375 -0.39113039
 -0.25896906 -1.33968544  1.95948929 -3.54983877  2.08777896  3.6119019
 -3.03164442  0.25853958 -0.14501214 -1.13128605 -3.0702746   4.9766286
 -1.36835895  2.16579082 -4.84644431  5.44091091 -5.2590179   2.2832003
  3.82449219 -5.33781708  5.06029597 -2.7883606  -0.44394562 -2.31499864]
