Optimization Log
Iteration 0, Best Fitness: 142.280807
Iteration 1, Best Fitness: 109.743870
Iteration 2, Best Fitness: 109.743870
Iteration 3, Best Fitness: 102.636062
Iteration 4, Best Fitness: 102.636062
Iteration 5, Best Fitness: 95.078334
Iteration 6, Best Fitness: 68.066043
Iteration 7, Best Fitness: 68.066043
Iteration 8, Best Fitness: 61.713708
Iteration 9, Best Fitness: 61.713708
Iteration 10, Best Fitness: 38.518274
Iteration 11, Best Fitness: 38.518274
Iteration 12, Best Fitness: 38.518274
Iteration 13, Best Fitness: 38.518274
Iteration 14, Best Fitness: 38.518274
Iteration 15, Best Fitness: 38.518274
Iteration 16, Best Fitness: 38.518274
Iteration 17, Best Fitness: 36.772100
Iteration 18, Best Fitness: 14.985240
Iteration 19, Best Fitness: 14.985240
Iteration 20, Best Fitness: 14.985240
Iteration 21, Best Fitness: 14.985240
Iteration 22, Best Fitness: 14.985240
Iteration 23, Best Fitness: 14.780552
Iteration 24, Best Fitness: 10.648514
Iteration 25, Best Fitness: 10.648514
Iteration 26, Best Fitness: 9.472283
Iteration 27, Best Fitness: 9.472283
Iteration 28, Best Fitness: 8.837462
Iteration 29, Best Fitness: 8.837462
Iteration 30, Best Fitness: 8.837462
Iteration 31, Best Fitness: 7.924624
Iteration 32, Best Fitness: 3.294406
Iteration 33, Best Fitness: 3.294406
Iteration 34, Best Fitness: 3.294406
Iteration 35, Best Fitness: 3.294406
Iteration 36, Best Fitness: 2.962669
Iteration 37, Best Fitness: 2.962669
Iteration 38, Best Fitness: 2.962669
Iteration 39, Best Fitness: 2.962669
Iteration 40, Best Fitness: 2.962669
Iteration 41, Best Fitness: 2.962669
Iteration 42, Best Fitness: 2.962669
Iteration 43, Best Fitness: 2.962669
Iteration 44, Best Fitness: 2.962669
Iteration 45, Best Fitness: 2.962669
Iteration 46, Best Fitness: 2.962669
Iteration 47, Best Fitness: 2.962669
Iteration 48, Best Fitness: 2.962669
Iteration 49, Best Fitness: 2.962669
Iteration 50, Best Fitness: 2.928839
Iteration 51, Best Fitness: 2.928839
Iteration 52, Best Fitness: 2.928839
Iteration 53, Best Fitness: 2.928839
Iteration 54, Best Fitness: 2.838108
Iteration 55, Best Fitness: 2.838108
Iteration 56, Best Fitness: 2.725982
Iteration 57, Best Fitness: 2.725982
Iteration 58, Best Fitness: 2.725982
Iteration 59, Best Fitness: 2.725982
Iteration 60, Best Fitness: 2.725982
Iteration 61, Best Fitness: 2.725982
Iteration 62, Best Fitness: 2.725982
Iteration 63, Best Fitness: 2.725982
Iteration 64, Best Fitness: 2.725982
Iteration 65, Best Fitness: 2.725982
Iteration 66, Best Fitness: 2.725982
Iteration 67, Best Fitness: 2.717766
Iteration 68, Best Fitness: 2.657858
Iteration 69, Best Fitness: 2.577354
Iteration 70, Best Fitness: 2.503898
Iteration 71, Best Fitness: 2.503898
Iteration 72, Best Fitness: 2.503898
Iteration 73, Best Fitness: 2.503898
Iteration 74, Best Fitness: 2.503898
Iteration 75, Best Fitness: 2.440859
Iteration 76, Best Fitness: 2.440859
Iteration 77, Best Fitness: 2.440859
Iteration 78, Best Fitness: 2.440859
Iteration 79, Best Fitness: 2.440859
Iteration 80, Best Fitness: 2.440859
Iteration 81, Best Fitness: 2.440859
Iteration 82, Best Fitness: 2.440859
Iteration 83, Best Fitness: 2.402945
Iteration 84, Best Fitness: 2.402945
Iteration 85, Best Fitness: 2.402945
Iteration 86, Best Fitness: 2.402945
Iteration 87, Best Fitness: 2.366883
Iteration 88, Best Fitness: 2.366883
Iteration 89, Best Fitness: 2.366883
Iteration 90, Best Fitness: 2.366883
Iteration 91, Best Fitness: 2.366883
Iteration 92, Best Fitness: 2.366883
Iteration 93, Best Fitness: 2.366883
Iteration 94, Best Fitness: 2.366883
Iteration 95, Best Fitness: 2.353456
Iteration 96, Best Fitness: 2.353456
Iteration 97, Best Fitness: 2.353456
Iteration 98, Best Fitness: 2.353456
Iteration 99, Best Fitness: 2.351231

Final Best Fitness: 2.3512314864835844
Best Position Found:
[ 1.28166671e-02 -2.02763751e-02 -1.63274221e-02  9.12105050e-03
 -9.15118049e-04  2.75438229e-02  9.96337493e-01 -5.52489461e-03
  9.97664571e-01  9.98007973e-03]
