Optimization Log
Iteration 0, Best Fitness: 793873159.478949
Iteration 1, Best Fitness: 231229134.883361
Iteration 2, Best Fitness: 231229134.883361
Iteration 3, Best Fitness: 33141618.174012
Iteration 4, Best Fitness: 10385534.164140
Iteration 5, Best Fitness: 7478305.709510
Iteration 6, Best Fitness: 2472424.974904
Iteration 7, Best Fitness: 1039252.950543
Iteration 8, Best Fitness: 1039252.950543
Iteration 9, Best Fitness: 203393.869852
Iteration 10, Best Fitness: 116314.955705
Iteration 11, Best Fitness: 26855.053308
Iteration 12, Best Fitness: 14984.966702
Iteration 13, Best Fitness: 2190.927221
Iteration 14, Best Fitness: 2190.927221
Iteration 15, Best Fitness: 998.477625
Iteration 16, Best Fitness: 523.900944
Iteration 17, Best Fitness: 105.536652
Iteration 18, Best Fitness: 105.536652
Iteration 19, Best Fitness: 20.588258
Iteration 20, Best Fitness: 5.379412
Iteration 21, Best Fitness: 3.364996
Iteration 22, Best Fitness: 1.397679
Iteration 23, Best Fitness: 0.777276
Iteration 24, Best Fitness: 0.777276
Iteration 25, Best Fitness: 0.552792
Iteration 26, Best Fitness: 0.254058
Iteration 27, Best Fitness: 0.254058
Iteration 28, Best Fitness: 0.254058
Iteration 29, Best Fitness: 0.043203
Iteration 30, Best Fitness: 0.043203
Iteration 31, Best Fitness: 0.043203
Iteration 32, Best Fitness: 0.043203
Iteration 33, Best Fitness: 0.043203
Iteration 34, Best Fitness: 0.043203
Iteration 35, Best Fitness: 0.043203
Iteration 36, Best Fitness: 0.043203
Iteration 37, Best Fitness: 0.043203
Iteration 38, Best Fitness: 0.040819
Iteration 39, Best Fitness: 0.040819
Iteration 40, Best Fitness: 0.040819
Iteration 41, Best Fitness: 0.040819
Iteration 42, Best Fitness: 0.040819
Iteration 43, Best Fitness: 0.040819
Iteration 44, Best Fitness: 0.040819
Iteration 45, Best Fitness: 0.040819
Iteration 46, Best Fitness: 0.040819
Iteration 47, Best Fitness: 0.032711
Iteration 48, Best Fitness: 0.032711
Iteration 49, Best Fitness: 0.032711
Iteration 50, Best Fitness: 0.032711
Iteration 51, Best Fitness: 0.032711
Iteration 52, Best Fitness: 0.032711
Iteration 53, Best Fitness: 0.032711
Iteration 54, Best Fitness: 0.032711
Iteration 55, Best Fitness: 0.026636
Iteration 56, Best Fitness: 0.026636
Iteration 57, Best Fitness: 0.026636
Iteration 58, Best Fitness: 0.026636
Iteration 59, Best Fitness: 0.026636
Iteration 60, Best Fitness: 0.026636
Iteration 61, Best Fitness: 0.021127
Iteration 62, Best Fitness: 0.021127
Iteration 63, Best Fitness: 0.021127
Iteration 64, Best Fitness: 0.021127
Iteration 65, Best Fitness: 0.021127
Iteration 66, Best Fitness: 0.021127
Iteration 67, Best Fitness: 0.021127
Iteration 68, Best Fitness: 0.021127
Iteration 69, Best Fitness: 0.021127
Iteration 70, Best Fitness: 0.021127
Iteration 71, Best Fitness: 0.021127
Iteration 72, Best Fitness: 0.021127
Iteration 73, Best Fitness: 0.021127
Iteration 74, Best Fitness: 0.021127
Iteration 75, Best Fitness: 0.021127
Iteration 76, Best Fitness: 0.021127
Iteration 77, Best Fitness: 0.021127
Iteration 78, Best Fitness: 0.021127
Iteration 79, Best Fitness: 0.021127
Iteration 80, Best Fitness: 0.021127
Iteration 81, Best Fitness: 0.021127
Iteration 82, Best Fitness: 0.021127
Iteration 83, Best Fitness: 0.021127
Iteration 84, Best Fitness: 0.021127
Iteration 85, Best Fitness: 0.021127
Iteration 86, Best Fitness: 0.021127
Iteration 87, Best Fitness: 0.021127
Iteration 88, Best Fitness: 0.014457
Iteration 89, Best Fitness: 0.014457
Iteration 90, Best Fitness: 0.014457
Iteration 91, Best Fitness: 0.014457
Iteration 92, Best Fitness: 0.014457
Iteration 93, Best Fitness: 0.014457
Iteration 94, Best Fitness: 0.014457
Iteration 95, Best Fitness: 0.014457
Iteration 96, Best Fitness: 0.014457
Iteration 97, Best Fitness: 0.014457
Iteration 98, Best Fitness: 0.014457
Iteration 99, Best Fitness: 0.014457

Final Best Fitness: 0.014456851459180759
Best Position Found:
[ 0.21580616  0.10345421 -0.18333313 -0.15840215 -0.09460126 -0.10884919
  0.10810055 -0.11653578 -0.04932621 -0.0284493 ]
