Optimization Log
Iteration 0, Best Fitness: 20.590603
Iteration 1, Best Fitness: 19.222784
Iteration 2, Best Fitness: 19.222784
Iteration 3, Best Fitness: 17.308985
Iteration 4, Best Fitness: 13.677966
Iteration 5, Best Fitness: 13.677966
Iteration 6, Best Fitness: 13.677966
Iteration 7, Best Fitness: 12.087357
Iteration 8, Best Fitness: 10.083863
Iteration 9, Best Fitness: 6.320768
Iteration 10, Best Fitness: 6.320768
Iteration 11, Best Fitness: 6.067391
Iteration 12, Best Fitness: 4.190056
Iteration 13, Best Fitness: 4.190056
Iteration 14, Best Fitness: 3.090181
Iteration 15, Best Fitness: 3.090181
Iteration 16, Best Fitness: 2.280642
Iteration 17, Best Fitness: 1.699747
Iteration 18, Best Fitness: 1.574553
Iteration 19, Best Fitness: 0.892606
Iteration 20, Best Fitness: 0.703803
Iteration 21, Best Fitness: 0.498231
Iteration 22, Best Fitness: 0.419158
Iteration 23, Best Fitness: 0.203455
Iteration 24, Best Fitness: 0.136083
Iteration 25, Best Fitness: 0.129615
Iteration 26, Best Fitness: 0.103613
Iteration 27, Best Fitness: 0.074076
Iteration 28, Best Fitness: 0.057366
Iteration 29, Best Fitness: 0.043309
Iteration 30, Best Fitness: 0.028713
Iteration 31, Best Fitness: 0.024382
Iteration 32, Best Fitness: 0.019799
Iteration 33, Best Fitness: 0.015868
Iteration 34, Best Fitness: 0.013536
Iteration 35, Best Fitness: 0.013423
Iteration 36, Best Fitness: 0.011912
Iteration 37, Best Fitness: 0.010498
Iteration 38, Best Fitness: 0.007761
Iteration 39, Best Fitness: 0.006173
Iteration 40, Best Fitness: 0.005712
Iteration 41, Best Fitness: 0.004307
Iteration 42, Best Fitness: 0.004028
Iteration 43, Best Fitness: 0.003377
Iteration 44, Best Fitness: 0.002605
Iteration 45, Best Fitness: 0.002437
Iteration 46, Best Fitness: 0.002126
Iteration 47, Best Fitness: 0.001957
Iteration 48, Best Fitness: 0.001595
Iteration 49, Best Fitness: 0.001524
Iteration 50, Best Fitness: 0.001325
Iteration 51, Best Fitness: 0.001237
Iteration 52, Best Fitness: 0.001138
Iteration 53, Best Fitness: 0.000965
Iteration 54, Best Fitness: 0.000939
Iteration 55, Best Fitness: 0.000852
Iteration 56, Best Fitness: 0.000791
Iteration 57, Best Fitness: 0.000695
Iteration 58, Best Fitness: 0.000695
Iteration 59, Best Fitness: 0.000635
Iteration 60, Best Fitness: 0.000570
Iteration 61, Best Fitness: 0.000526
Iteration 62, Best Fitness: 0.000459
Iteration 63, Best Fitness: 0.000441
Iteration 64, Best Fitness: 0.000415
Iteration 65, Best Fitness: 0.000361
Iteration 66, Best Fitness: 0.000347
Iteration 67, Best Fitness: 0.000335
Iteration 68, Best Fitness: 0.000316
Iteration 69, Best Fitness: 0.000298
Iteration 70, Best Fitness: 0.000286
Iteration 71, Best Fitness: 0.000267
Iteration 72, Best Fitness: 0.000260
Iteration 73, Best Fitness: 0.000248
Iteration 74, Best Fitness: 0.000236
Iteration 75, Best Fitness: 0.000223
Iteration 76, Best Fitness: 0.000210
Iteration 77, Best Fitness: 0.000210
Iteration 78, Best Fitness: 0.000202
Iteration 79, Best Fitness: 0.000188
Iteration 80, Best Fitness: 0.000182
Iteration 81, Best Fitness: 0.000177
Iteration 82, Best Fitness: 0.000172
Iteration 83, Best Fitness: 0.000163
Iteration 84, Best Fitness: 0.000157
Iteration 85, Best Fitness: 0.000152
Iteration 86, Best Fitness: 0.000148
Iteration 87, Best Fitness: 0.000147
Iteration 88, Best Fitness: 0.000143
Iteration 89, Best Fitness: 0.000140
Iteration 90, Best Fitness: 0.000139
Iteration 91, Best Fitness: 0.000135
Iteration 92, Best Fitness: 0.000134
Iteration 93, Best Fitness: 0.000131
Iteration 94, Best Fitness: 0.000130
Iteration 95, Best Fitness: 0.000129
Iteration 96, Best Fitness: 0.000128
Iteration 97, Best Fitness: 0.000127
Iteration 98, Best Fitness: 0.000126
Iteration 99, Best Fitness: 0.000126

Final Best Fitness: 0.00012604306203245486
Best Position Found:
[-4.18774802e-05  2.81380095e-05 -3.19609969e-05  2.68361312e-05
 -3.76493364e-05 -2.87902710e-05  3.39951955e-05  3.18373247e-05
 -3.48974866e-05 -5.75447020e-07]
