Optimization Log
Iteration 0, Best Fitness: 146795182.314388
Iteration 1, Best Fitness: 19753098.901198
Iteration 2, Best Fitness: 5957773.783546
Iteration 3, Best Fitness: 5873472.121208
Iteration 4, Best Fitness: 5873472.121208
Iteration 5, Best Fitness: 195301.426020
Iteration 6, Best Fitness: 157054.799939
Iteration 7, Best Fitness: 19.508363
Iteration 8, Best Fitness: 19.508363
Iteration 9, Best Fitness: 14.821830
Iteration 10, Best Fitness: 14.821830
Iteration 11, Best Fitness: 14.821830
Iteration 12, Best Fitness: 13.561387
Iteration 13, Best Fitness: 6.463880
Iteration 14, Best Fitness: 6.463880
Iteration 15, Best Fitness: 4.876933
Iteration 16, Best Fitness: 1.766851
Iteration 17, Best Fitness: 1.766851
Iteration 18, Best Fitness: 1.766851
Iteration 19, Best Fitness: 1.734364
Iteration 20, Best Fitness: 0.594530
Iteration 21, Best Fitness: 0.594530
Iteration 22, Best Fitness: 0.552101
Iteration 23, Best Fitness: 0.407379
Iteration 24, Best Fitness: 0.407379
Iteration 25, Best Fitness: 0.357659
Iteration 26, Best Fitness: 0.357659
Iteration 27, Best Fitness: 0.357659
Iteration 28, Best Fitness: 0.354999
Iteration 29, Best Fitness: 0.354999
Iteration 30, Best Fitness: 0.296515
Iteration 31, Best Fitness: 0.296515
Iteration 32, Best Fitness: 0.250401
Iteration 33, Best Fitness: 0.215215
Iteration 34, Best Fitness: 0.184252
Iteration 35, Best Fitness: 0.184252
Iteration 36, Best Fitness: 0.184252
Iteration 37, Best Fitness: 0.184252
Iteration 38, Best Fitness: 0.184252
Iteration 39, Best Fitness: 0.184252
Iteration 40, Best Fitness: 0.184252
Iteration 41, Best Fitness: 0.184252
Iteration 42, Best Fitness: 0.184252
Iteration 43, Best Fitness: 0.166090
Iteration 44, Best Fitness: 0.166090
Iteration 45, Best Fitness: 0.161488
Iteration 46, Best Fitness: 0.161488
Iteration 47, Best Fitness: 0.161488
Iteration 48, Best Fitness: 0.145721
Iteration 49, Best Fitness: 0.145721
Iteration 50, Best Fitness: 0.138699
Iteration 51, Best Fitness: 0.121777
Iteration 52, Best Fitness: 0.105192
Iteration 53, Best Fitness: 0.105192
Iteration 54, Best Fitness: 0.105192
Iteration 55, Best Fitness: 0.105192
Iteration 56, Best Fitness: 0.101381
Iteration 57, Best Fitness: 0.101381
Iteration 58, Best Fitness: 0.101381
Iteration 59, Best Fitness: 0.081870
Iteration 60, Best Fitness: 0.081870
Iteration 61, Best Fitness: 0.075154
Iteration 62, Best Fitness: 0.075154
Iteration 63, Best Fitness: 0.075154
Iteration 64, Best Fitness: 0.074234
Iteration 65, Best Fitness: 0.074234
Iteration 66, Best Fitness: 0.074234
Iteration 67, Best Fitness: 0.073135
Iteration 68, Best Fitness: 0.072048
Iteration 69, Best Fitness: 0.072048
Iteration 70, Best Fitness: 0.071787
Iteration 71, Best Fitness: 0.071734
Iteration 72, Best Fitness: 0.071734
Iteration 73, Best Fitness: 0.069052
Iteration 74, Best Fitness: 0.069052
Iteration 75, Best Fitness: 0.069052
Iteration 76, Best Fitness: 0.069052
Iteration 77, Best Fitness: 0.069052
Iteration 78, Best Fitness: 0.069052
Iteration 79, Best Fitness: 0.066835
Iteration 80, Best Fitness: 0.066835
Iteration 81, Best Fitness: 0.066835
Iteration 82, Best Fitness: 0.066835
Iteration 83, Best Fitness: 0.066835
Iteration 84, Best Fitness: 0.066835
Iteration 85, Best Fitness: 0.066835
Iteration 86, Best Fitness: 0.066835
Iteration 87, Best Fitness: 0.066835
Iteration 88, Best Fitness: 0.066835
Iteration 89, Best Fitness: 0.066835
Iteration 90, Best Fitness: 0.066035
Iteration 91, Best Fitness: 0.066035
Iteration 92, Best Fitness: 0.065766
Iteration 93, Best Fitness: 0.065425
Iteration 94, Best Fitness: 0.065214
Iteration 95, Best Fitness: 0.065214
Iteration 96, Best Fitness: 0.065214
Iteration 97, Best Fitness: 0.065214
Iteration 98, Best Fitness: 0.065145
Iteration 99, Best Fitness: 0.065136

Final Best Fitness: 0.0651362732491812
Best Position Found:
[-0.99598058  0.07451799 -1.00518092 -1.00160739  0.04248972 -0.99387654
 -1.01723035 -0.99196098  0.0358868  -0.99967314]
