Optimization Log
Iteration 0, Best Fitness: 92657130.416217
Iteration 1, Best Fitness: 57199787.457810
Iteration 2, Best Fitness: 57199787.457810
Iteration 3, Best Fitness: 37015355.783857
Iteration 4, Best Fitness: 15872191.106485
Iteration 5, Best Fitness: 11424006.975692
Iteration 6, Best Fitness: 4008656.770372
Iteration 7, Best Fitness: 1170152.547480
Iteration 8, Best Fitness: 1170152.547480
Iteration 9, Best Fitness: 449159.806929
Iteration 10, Best Fitness: 48537.296897
Iteration 11, Best Fitness: 48537.296897
Iteration 12, Best Fitness: 33683.141553
Iteration 13, Best Fitness: 14946.893509
Iteration 14, Best Fitness: 8718.500092
Iteration 15, Best Fitness: 6973.745936
Iteration 16, Best Fitness: 3489.489572
Iteration 17, Best Fitness: 2474.586201
Iteration 18, Best Fitness: 1507.693359
Iteration 19, Best Fitness: 939.986815
Iteration 20, Best Fitness: 757.732783
Iteration 21, Best Fitness: 693.265739
Iteration 22, Best Fitness: 679.305707
Iteration 23, Best Fitness: 544.103410
Iteration 24, Best Fitness: 501.892371
Iteration 25, Best Fitness: 374.359164
Iteration 26, Best Fitness: 345.163493
Iteration 27, Best Fitness: 281.873643
Iteration 28, Best Fitness: 278.436402
Iteration 29, Best Fitness: 201.483111
Iteration 30, Best Fitness: 184.563486
Iteration 31, Best Fitness: 146.962238
Iteration 32, Best Fitness: 127.043261
Iteration 33, Best Fitness: 119.473749
Iteration 34, Best Fitness: 83.578002
Iteration 35, Best Fitness: 67.913207
Iteration 36, Best Fitness: 52.182252
Iteration 37, Best Fitness: 47.289593
Iteration 38, Best Fitness: 40.749753
Iteration 39, Best Fitness: 37.777542
Iteration 40, Best Fitness: 31.300127
Iteration 41, Best Fitness: 30.276155
Iteration 42, Best Fitness: 27.694279
Iteration 43, Best Fitness: 26.931569
Iteration 44, Best Fitness: 25.034423
Iteration 45, Best Fitness: 23.056987
Iteration 46, Best Fitness: 22.470422
Iteration 47, Best Fitness: 21.480090
Iteration 48, Best Fitness: 21.049851
Iteration 49, Best Fitness: 20.709351
Iteration 50, Best Fitness: 20.396938
Iteration 51, Best Fitness: 19.993340
Iteration 52, Best Fitness: 19.667383
Iteration 53, Best Fitness: 19.539331
Iteration 54, Best Fitness: 19.420423
Iteration 55, Best Fitness: 19.236703
Iteration 56, Best Fitness: 19.150323
Iteration 57, Best Fitness: 19.095389
Iteration 58, Best Fitness: 19.037660
Iteration 59, Best Fitness: 18.998055
Iteration 60, Best Fitness: 18.957327
Iteration 61, Best Fitness: 18.917684
Iteration 62, Best Fitness: 18.891280
Iteration 63, Best Fitness: 18.835996
Iteration 64, Best Fitness: 18.825811
Iteration 65, Best Fitness: 18.801112
Iteration 66, Best Fitness: 18.794207
Iteration 67, Best Fitness: 18.777095
Iteration 68, Best Fitness: 18.756501
Iteration 69, Best Fitness: 18.756501
Iteration 70, Best Fitness: 18.745230
Iteration 71, Best Fitness: 18.741026
Iteration 72, Best Fitness: 18.731689
Iteration 73, Best Fitness: 18.725495
Iteration 74, Best Fitness: 18.717948
Iteration 75, Best Fitness: 18.716645
Iteration 76, Best Fitness: 18.713531
Iteration 77, Best Fitness: 18.710456
Iteration 78, Best Fitness: 18.706470
Iteration 79, Best Fitness: 18.699256
Iteration 80, Best Fitness: 18.697333
Iteration 81, Best Fitness: 18.697333
Iteration 82, Best Fitness: 18.696417
Iteration 83, Best Fitness: 18.693999
Iteration 84, Best Fitness: 18.691679
Iteration 85, Best Fitness: 18.690965
Iteration 86, Best Fitness: 18.688904
Iteration 87, Best Fitness: 18.688104
Iteration 88, Best Fitness: 18.687360
Iteration 89, Best Fitness: 18.685734
Iteration 90, Best Fitness: 18.685121
Iteration 91, Best Fitness: 18.683928
Iteration 92, Best Fitness: 18.683894
Iteration 93, Best Fitness: 18.683147
Iteration 94, Best Fitness: 18.682640
Iteration 95, Best Fitness: 18.681724
Iteration 96, Best Fitness: 18.681614
Iteration 97, Best Fitness: 18.681359
Iteration 98, Best Fitness: 18.681308
Iteration 99, Best Fitness: 18.681203

Final Best Fitness: 18.681203130360704
Best Position Found:
[ 0.15912831 -0.00084334  0.00797055  0.00989488  0.00989284  0.00931474
  0.00919343  0.00988947 -0.00145846 -0.00231726  0.00826903  0.01046678
  0.00966941 -0.00203713 -0.00156895  0.00893136 -0.00258399  0.01048576
  0.01115555 -0.00311744]
