Optimization Log
Iteration 0, Best Fitness: 18767390447.262497
Iteration 1, Best Fitness: 17963044918.079926
Iteration 2, Best Fitness: 11615653253.472984
Iteration 3, Best Fitness: 10635611768.047461
Iteration 4, Best Fitness: 6621665383.174422
Iteration 5, Best Fitness: 3322333636.444088
Iteration 6, Best Fitness: 2447754638.136984
Iteration 7, Best Fitness: 2447754638.136984
Iteration 8, Best Fitness: 2185874266.685456
Iteration 9, Best Fitness: 1015238130.421648
Iteration 10, Best Fitness: 982068217.802933
Iteration 11, Best Fitness: 567986997.367600
Iteration 12, Best Fitness: 567986997.367600
Iteration 13, Best Fitness: 433963463.212578
Iteration 14, Best Fitness: 251607762.433418
Iteration 15, Best Fitness: 245897652.387901
Iteration 16, Best Fitness: 155960132.078628
Iteration 17, Best Fitness: 75460329.106629
Iteration 18, Best Fitness: 50551021.560172
Iteration 19, Best Fitness: 41922216.029909
Iteration 20, Best Fitness: 33940081.055838
Iteration 21, Best Fitness: 18505658.051763
Iteration 22, Best Fitness: 12912831.280957
Iteration 23, Best Fitness: 7941129.591056
Iteration 24, Best Fitness: 6106872.620760
Iteration 25, Best Fitness: 5600030.362265
Iteration 26, Best Fitness: 3620959.490261
Iteration 27, Best Fitness: 3166052.161933
Iteration 28, Best Fitness: 2004159.651039
Iteration 29, Best Fitness: 1466907.932384
Iteration 30, Best Fitness: 866795.890289
Iteration 31, Best Fitness: 714961.981184
Iteration 32, Best Fitness: 665795.912425
Iteration 33, Best Fitness: 395186.164357
Iteration 34, Best Fitness: 214707.465390
Iteration 35, Best Fitness: 148381.013132
Iteration 36, Best Fitness: 148381.013132
Iteration 37, Best Fitness: 102301.559393
Iteration 38, Best Fitness: 70929.583346
Iteration 39, Best Fitness: 61795.738416
Iteration 40, Best Fitness: 55428.412072
Iteration 41, Best Fitness: 28371.400326
Iteration 42, Best Fitness: 23208.913559
Iteration 43, Best Fitness: 18686.304229
Iteration 44, Best Fitness: 11870.540476
Iteration 45, Best Fitness: 10156.859665
Iteration 46, Best Fitness: 5909.075460
Iteration 47, Best Fitness: 3551.468715
Iteration 48, Best Fitness: 3186.385206
Iteration 49, Best Fitness: 2802.827172
Iteration 50, Best Fitness: 1960.472148
Iteration 51, Best Fitness: 1371.612790
Iteration 52, Best Fitness: 985.751267
Iteration 53, Best Fitness: 743.320942
Iteration 54, Best Fitness: 740.819940
Iteration 55, Best Fitness: 649.493517
Iteration 56, Best Fitness: 498.118087
Iteration 57, Best Fitness: 460.591780
Iteration 58, Best Fitness: 379.725430
Iteration 59, Best Fitness: 343.022539
Iteration 60, Best Fitness: 300.908399
Iteration 61, Best Fitness: 210.633425
Iteration 62, Best Fitness: 171.758254
Iteration 63, Best Fitness: 145.662256
Iteration 64, Best Fitness: 98.883583
Iteration 65, Best Fitness: 88.964255
Iteration 66, Best Fitness: 80.686396
Iteration 67, Best Fitness: 69.925158
Iteration 68, Best Fitness: 61.865673
Iteration 69, Best Fitness: 46.809458
Iteration 70, Best Fitness: 44.244800
Iteration 71, Best Fitness: 41.393089
Iteration 72, Best Fitness: 39.674572
Iteration 73, Best Fitness: 35.382318
Iteration 74, Best Fitness: 32.408695
Iteration 75, Best Fitness: 27.475264
Iteration 76, Best Fitness: 25.957357
Iteration 77, Best Fitness: 23.266128
Iteration 78, Best Fitness: 19.402123
Iteration 79, Best Fitness: 18.342958
Iteration 80, Best Fitness: 17.617895
Iteration 81, Best Fitness: 16.620222
Iteration 82, Best Fitness: 15.702135
Iteration 83, Best Fitness: 13.974925
Iteration 84, Best Fitness: 13.429386
Iteration 85, Best Fitness: 11.953172
Iteration 86, Best Fitness: 11.953172
Iteration 87, Best Fitness: 10.829038
Iteration 88, Best Fitness: 10.533082
Iteration 89, Best Fitness: 10.143532
Iteration 90, Best Fitness: 9.392938
Iteration 91, Best Fitness: 9.392938
Iteration 92, Best Fitness: 9.271325
Iteration 93, Best Fitness: 9.040887
Iteration 94, Best Fitness: 8.679146
Iteration 95, Best Fitness: 8.679146
Iteration 96, Best Fitness: 8.519358
Iteration 97, Best Fitness: 8.447281
Iteration 98, Best Fitness: 8.447281
Iteration 99, Best Fitness: 8.447281

Final Best Fitness: 8.447280849776142
Best Position Found:
[-0.6094926   0.55137164 -0.43744723  0.47453902 -0.49144248 -0.36253951
  0.47839854 -0.43764263 -0.12588125 -0.38543199  0.37830719  0.38903721
  0.34493662  0.29154863  0.32135535 -0.33403558  0.33618338  0.23442266
  0.37007426  0.29962502  0.22931778  0.32902859 -0.37945323  0.35710401
  0.28532407  0.39683842  0.22656897  0.15386735  0.26031004 -0.00909317
  0.2670851   0.27698401 -0.28893628 -0.2089261   0.28215193 -0.31239898
 -0.32719185 -0.33527249 -0.27836503  0.04245662]
