Optimization Log
Iteration 0, Best Fitness: 48.821039
Iteration 1, Best Fitness: 39.826540
Iteration 2, Best Fitness: 38.965905
Iteration 3, Best Fitness: 27.460018
Iteration 4, Best Fitness: 27.460018
Iteration 5, Best Fitness: 25.311333
Iteration 6, Best Fitness: 25.311333
Iteration 7, Best Fitness: 19.312541
Iteration 8, Best Fitness: 18.820694
Iteration 9, Best Fitness: 13.010328
Iteration 10, Best Fitness: 11.012374
Iteration 11, Best Fitness: 9.535228
Iteration 12, Best Fitness: 5.688225
Iteration 13, Best Fitness: 5.688225
Iteration 14, Best Fitness: 4.015833
Iteration 15, Best Fitness: 4.015833
Iteration 16, Best Fitness: 2.551862
Iteration 17, Best Fitness: 2.551862
Iteration 18, Best Fitness: 2.226436
Iteration 19, Best Fitness: 2.226436
Iteration 20, Best Fitness: 2.226436
Iteration 21, Best Fitness: 2.165166
Iteration 22, Best Fitness: 1.964550
Iteration 23, Best Fitness: 1.583780
Iteration 24, Best Fitness: 1.456016
Iteration 25, Best Fitness: 1.368673
Iteration 26, Best Fitness: 1.240191
Iteration 27, Best Fitness: 0.850239
Iteration 28, Best Fitness: 0.756868
Iteration 29, Best Fitness: 0.639839
Iteration 30, Best Fitness: 0.529811
Iteration 31, Best Fitness: 0.468952
Iteration 32, Best Fitness: 0.450958
Iteration 33, Best Fitness: 0.345964
Iteration 34, Best Fitness: 0.302828
Iteration 35, Best Fitness: 0.282798
Iteration 36, Best Fitness: 0.282798
Iteration 37, Best Fitness: 0.246252
Iteration 38, Best Fitness: 0.241140
Iteration 39, Best Fitness: 0.214430
Iteration 40, Best Fitness: 0.191644
Iteration 41, Best Fitness: 0.149502
Iteration 42, Best Fitness: 0.139735
Iteration 43, Best Fitness: 0.117258
Iteration 44, Best Fitness: 0.112133
Iteration 45, Best Fitness: 0.109508
Iteration 46, Best Fitness: 0.094011
Iteration 47, Best Fitness: 0.083857
Iteration 48, Best Fitness: 0.075547
Iteration 49, Best Fitness: 0.068575
Iteration 50, Best Fitness: 0.065512
Iteration 51, Best Fitness: 0.060275
Iteration 52, Best Fitness: 0.057724
Iteration 53, Best Fitness: 0.050992
Iteration 54, Best Fitness: 0.046689
Iteration 55, Best Fitness: 0.040460
Iteration 56, Best Fitness: 0.040106
Iteration 57, Best Fitness: 0.037323
Iteration 58, Best Fitness: 0.037323
Iteration 59, Best Fitness: 0.032232
Iteration 60, Best Fitness: 0.030001
Iteration 61, Best Fitness: 0.027945
Iteration 62, Best Fitness: 0.026440
Iteration 63, Best Fitness: 0.025074
Iteration 64, Best Fitness: 0.023545
Iteration 65, Best Fitness: 0.022467
Iteration 66, Best Fitness: 0.021363
Iteration 67, Best Fitness: 0.021160
Iteration 68, Best Fitness: 0.018988
Iteration 69, Best Fitness: 0.018536
Iteration 70, Best Fitness: 0.017026
Iteration 71, Best Fitness: 0.017026
Iteration 72, Best Fitness: 0.016002
Iteration 73, Best Fitness: 0.016002
Iteration 74, Best Fitness: 0.015470
Iteration 75, Best Fitness: 0.014744
Iteration 76, Best Fitness: 0.013511
Iteration 77, Best Fitness: 0.013511
Iteration 78, Best Fitness: 0.013511
Iteration 79, Best Fitness: 0.013188
Iteration 80, Best Fitness: 0.012553
Iteration 81, Best Fitness: 0.012167
Iteration 82, Best Fitness: 0.012130
Iteration 83, Best Fitness: 0.011541
Iteration 84, Best Fitness: 0.010990
Iteration 85, Best Fitness: 0.010990
Iteration 86, Best Fitness: 0.010588
Iteration 87, Best Fitness: 0.010441
Iteration 88, Best Fitness: 0.010094
Iteration 89, Best Fitness: 0.010094
Iteration 90, Best Fitness: 0.010060
Iteration 91, Best Fitness: 0.009874
Iteration 92, Best Fitness: 0.009874
Iteration 93, Best Fitness: 0.009707
Iteration 94, Best Fitness: 0.009647
Iteration 95, Best Fitness: 0.009556
Iteration 96, Best Fitness: 0.009556
Iteration 97, Best Fitness: 0.009420
Iteration 98, Best Fitness: 0.009378
Iteration 99, Best Fitness: 0.009294

Final Best Fitness: 0.009294467339531542
Best Position Found:
[ 0.00916906  0.00927734  0.00926458 -0.00912849 -0.0090945   0.00843059
 -0.00928032 -0.00929447  0.00880597 -0.00923432]
