Optimization Log
Iteration 0, Best Fitness: 89127973.743845
Iteration 1, Best Fitness: 89127973.743845
Iteration 2, Best Fitness: 46708582.767483
Iteration 3, Best Fitness: 21213302.103126
Iteration 4, Best Fitness: 9053626.317254
Iteration 5, Best Fitness: 650522.811151
Iteration 6, Best Fitness: 600521.343351
Iteration 7, Best Fitness: 129585.649786
Iteration 8, Best Fitness: 129585.649786
Iteration 9, Best Fitness: 919.311405
Iteration 10, Best Fitness: 610.148924
Iteration 11, Best Fitness: 36.239849
Iteration 12, Best Fitness: 17.218760
Iteration 13, Best Fitness: 13.995675
Iteration 14, Best Fitness: 13.340564
Iteration 15, Best Fitness: 10.291351
Iteration 16, Best Fitness: 6.906989
Iteration 17, Best Fitness: 2.885627
Iteration 18, Best Fitness: 2.583670
Iteration 19, Best Fitness: 1.659051
Iteration 20, Best Fitness: 1.659051
Iteration 21, Best Fitness: 0.938233
Iteration 22, Best Fitness: 0.806748
Iteration 23, Best Fitness: 0.661008
Iteration 24, Best Fitness: 0.525246
Iteration 25, Best Fitness: 0.525246
Iteration 26, Best Fitness: 0.449320
Iteration 27, Best Fitness: 0.426235
Iteration 28, Best Fitness: 0.237630
Iteration 29, Best Fitness: 0.213043
Iteration 30, Best Fitness: 0.194869
Iteration 31, Best Fitness: 0.188330
Iteration 32, Best Fitness: 0.185384
Iteration 33, Best Fitness: 0.177455
Iteration 34, Best Fitness: 0.177455
Iteration 35, Best Fitness: 0.158268
Iteration 36, Best Fitness: 0.158268
Iteration 37, Best Fitness: 0.158268
Iteration 38, Best Fitness: 0.158268
Iteration 39, Best Fitness: 0.158268
Iteration 40, Best Fitness: 0.158268
Iteration 41, Best Fitness: 0.142898
Iteration 42, Best Fitness: 0.142898
Iteration 43, Best Fitness: 0.142898
Iteration 44, Best Fitness: 0.142898
Iteration 45, Best Fitness: 0.142898
Iteration 46, Best Fitness: 0.142898
Iteration 47, Best Fitness: 0.142898
Iteration 48, Best Fitness: 0.138196
Iteration 49, Best Fitness: 0.138196
Iteration 50, Best Fitness: 0.138196
Iteration 51, Best Fitness: 0.134832
Iteration 52, Best Fitness: 0.134832
Iteration 53, Best Fitness: 0.134832
Iteration 54, Best Fitness: 0.134832
Iteration 55, Best Fitness: 0.134832
Iteration 56, Best Fitness: 0.131956
Iteration 57, Best Fitness: 0.131956
Iteration 58, Best Fitness: 0.131956
Iteration 59, Best Fitness: 0.131956
Iteration 60, Best Fitness: 0.131380
Iteration 61, Best Fitness: 0.127473
Iteration 62, Best Fitness: 0.127473
Iteration 63, Best Fitness: 0.127320
Iteration 64, Best Fitness: 0.126796
Iteration 65, Best Fitness: 0.124827
Iteration 66, Best Fitness: 0.124827
Iteration 67, Best Fitness: 0.124827
Iteration 68, Best Fitness: 0.123515
Iteration 69, Best Fitness: 0.123515
Iteration 70, Best Fitness: 0.122466
Iteration 71, Best Fitness: 0.122466
Iteration 72, Best Fitness: 0.122466
Iteration 73, Best Fitness: 0.122466
Iteration 74, Best Fitness: 0.122466
Iteration 75, Best Fitness: 0.122466
Iteration 76, Best Fitness: 0.121217
Iteration 77, Best Fitness: 0.121217
Iteration 78, Best Fitness: 0.119522
Iteration 79, Best Fitness: 0.119522
Iteration 80, Best Fitness: 0.119522
Iteration 81, Best Fitness: 0.118946
Iteration 82, Best Fitness: 0.118860
Iteration 83, Best Fitness: 0.118389
Iteration 84, Best Fitness: 0.118389
Iteration 85, Best Fitness: 0.117266
Iteration 86, Best Fitness: 0.117266
Iteration 87, Best Fitness: 0.116129
Iteration 88, Best Fitness: 0.115812
Iteration 89, Best Fitness: 0.115212
Iteration 90, Best Fitness: 0.114739
Iteration 91, Best Fitness: 0.114500
Iteration 92, Best Fitness: 0.113816
Iteration 93, Best Fitness: 0.113478
Iteration 94, Best Fitness: 0.113478
Iteration 95, Best Fitness: 0.113105
Iteration 96, Best Fitness: 0.113000
Iteration 97, Best Fitness: 0.112758
Iteration 98, Best Fitness: 0.112704
Iteration 99, Best Fitness: 0.112576

Final Best Fitness: 0.11257593795395965
Best Position Found:
[-0.99670523 -0.97153566  0.07591271 -0.99187516  0.00512433 -0.99982368
 -0.76984423 -1.05249044 -0.96686947 -0.37440143 -1.01806109  0.00829687
 -0.06317928 -1.02452251 -0.9541234  -0.90909469 -1.01114648  0.08439052
 -0.99266639  0.08241526]
