Optimization Log
Iteration 0, Best Fitness: 28320.670210
Iteration 1, Best Fitness: 28320.670210
Iteration 2, Best Fitness: 26563.789645
Iteration 3, Best Fitness: 11941.674834
Iteration 4, Best Fitness: 10209.937920
Iteration 5, Best Fitness: 10071.453722
Iteration 6, Best Fitness: 6522.328114
Iteration 7, Best Fitness: 4727.716845
Iteration 8, Best Fitness: 4004.076051
Iteration 9, Best Fitness: 2749.999938
Iteration 10, Best Fitness: 1882.248648
Iteration 11, Best Fitness: 1154.224595
Iteration 12, Best Fitness: 879.444342
Iteration 13, Best Fitness: 753.798355
Iteration 14, Best Fitness: 419.063981
Iteration 15, Best Fitness: 242.747318
Iteration 16, Best Fitness: 220.791959
Iteration 17, Best Fitness: 127.631292
Iteration 18, Best Fitness: 81.046625
Iteration 19, Best Fitness: 72.900660
Iteration 20, Best Fitness: 61.313879
Iteration 21, Best Fitness: 39.749897
Iteration 22, Best Fitness: 28.581851
Iteration 23, Best Fitness: 13.556759
Iteration 24, Best Fitness: 13.556759
Iteration 25, Best Fitness: 8.871684
Iteration 26, Best Fitness: 5.347397
Iteration 27, Best Fitness: 3.855132
Iteration 28, Best Fitness: 2.945631
Iteration 29, Best Fitness: 2.113912
Iteration 30, Best Fitness: 1.973913
Iteration 31, Best Fitness: 1.716548
Iteration 32, Best Fitness: 1.660727
Iteration 33, Best Fitness: 1.403926
Iteration 34, Best Fitness: 1.226492
Iteration 35, Best Fitness: 1.181298
Iteration 36, Best Fitness: 1.180152
Iteration 37, Best Fitness: 1.058165
Iteration 38, Best Fitness: 1.009581
Iteration 39, Best Fitness: 1.009581
Iteration 40, Best Fitness: 0.949877
Iteration 41, Best Fitness: 0.884727
Iteration 42, Best Fitness: 0.884727
Iteration 43, Best Fitness: 0.875894
Iteration 44, Best Fitness: 0.842717
Iteration 45, Best Fitness: 0.827149
Iteration 46, Best Fitness: 0.783730
Iteration 47, Best Fitness: 0.783730
Iteration 48, Best Fitness: 0.783730
Iteration 49, Best Fitness: 0.783730
Iteration 50, Best Fitness: 0.783730
Iteration 51, Best Fitness: 0.783730
Iteration 52, Best Fitness: 0.783730
Iteration 53, Best Fitness: 0.773832
Iteration 54, Best Fitness: 0.773832
Iteration 55, Best Fitness: 0.773832
Iteration 56, Best Fitness: 0.760315
Iteration 57, Best Fitness: 0.760315
Iteration 58, Best Fitness: 0.760179
Iteration 59, Best Fitness: 0.734256
Iteration 60, Best Fitness: 0.734256
Iteration 61, Best Fitness: 0.734207
Iteration 62, Best Fitness: 0.705464
Iteration 63, Best Fitness: 0.705157
Iteration 64, Best Fitness: 0.687396
Iteration 65, Best Fitness: 0.685095
Iteration 66, Best Fitness: 0.685095
Iteration 67, Best Fitness: 0.678854
Iteration 68, Best Fitness: 0.658441
Iteration 69, Best Fitness: 0.620339
Iteration 70, Best Fitness: 0.612127
Iteration 71, Best Fitness: 0.612127
Iteration 72, Best Fitness: 0.611179
Iteration 73, Best Fitness: 0.585127
Iteration 74, Best Fitness: 0.571483
Iteration 75, Best Fitness: 0.569200
Iteration 76, Best Fitness: 0.543131
Iteration 77, Best Fitness: 0.515313
Iteration 78, Best Fitness: 0.508095
Iteration 79, Best Fitness: 0.489104
Iteration 80, Best Fitness: 0.477178
Iteration 81, Best Fitness: 0.472298
Iteration 82, Best Fitness: 0.460172
Iteration 83, Best Fitness: 0.447419
Iteration 84, Best Fitness: 0.434842
Iteration 85, Best Fitness: 0.428417
Iteration 86, Best Fitness: 0.414987
Iteration 87, Best Fitness: 0.409878
Iteration 88, Best Fitness: 0.406025
Iteration 89, Best Fitness: 0.398767
Iteration 90, Best Fitness: 0.393351
Iteration 91, Best Fitness: 0.386054
Iteration 92, Best Fitness: 0.384873
Iteration 93, Best Fitness: 0.377160
Iteration 94, Best Fitness: 0.371901
Iteration 95, Best Fitness: 0.368140
Iteration 96, Best Fitness: 0.363427
Iteration 97, Best Fitness: 0.360894
Iteration 98, Best Fitness: 0.358304
Iteration 99, Best Fitness: 0.356435

Final Best Fitness: 0.3564353589112635
Best Position Found:
[-0.49650198  0.01107922 -0.4899608  -0.49047945 -0.49208557 -0.49563352
 -0.50235102 -0.47553795 -0.19430945 -0.49765129 -0.51570617 -0.49518224
 -0.48579496 -0.50659456 -0.49607137 -0.49684816 -0.5154428  -0.51016358
 -0.49702834 -0.49914034]
